IncidentID;IncidentLabel;IncidentLabelId;DuurInMinuut;Prognose;LocatieHSLIndicatie;LocatieBetuwerouteIndicatie;LocatieRandstadIndicatie;TreinRijkarakteristiekSprinterIndicatie;TreinRijkarakteristiekGoederenIndicatie;PrognoseOverdagIndicatie;PrognoseKantoortijdIndicatie;PrognosePiektijdIndicatie;ProRailBedieningGebiedSoort;ProRailCalamiteitenRegio;TreinNSRLBCICDIndicatie;MateVanVervuiling
780930;(dreigende) Storing ICT systemen;139;2;76;Onbekend;Onbekend;NULL;NULL;NULL;Nee;Nee;Nee;;;NULL;NULL
781010;(dreigende) Storing ICT systemen;139;3;76;Onbekend;Onbekend;NULL;NULL;NULL;Nee;Nee;Nee;;;NULL;NULL
781327;(dreigende) Storing ICT systemen;139;3;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
782120;(dreigende) Storing ICT systemen;139;3;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Nee;;;NULL;NULL
778922;(dreigende) Storing ICT systemen;139;3;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Ja;;;NULL;NULL
778132;(dreigende) Storing ICT systemen;139;4;76;Nee;Nee;NULL;NULL;NULL;Ja;Nee;Nee;PPLG;Noordoost;NULL;NULL
781819;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Ja;;;NULL;NULL
781452;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
781482;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Ja;;;NULL;NULL
781110;(dreigende) Storing ICT systemen;139;4;76;Nee;Nee;NULL;NULL;NULL;Ja;Ja;Nee;PPLG;Rotterdam Haven;NULL;NULL
782146;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Ja;;;NULL;NULL
782770;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
784323;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
784542;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Nee;;;NULL;NULL
784764;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
784824;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Nee;Nee;Nee;;;NULL;NULL
784994;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Nee;;;NULL;NULL
785432;(dreigende) Storing ICT systemen;139;4;76;Nee;Nee;NULL;NULL;NULL;Ja;Nee;Nee;PPLG;Randstad Noord-Noord;NULL;NULL
785813;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
786360;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
787197;(dreigende) Storing ICT systemen;139;4;76;Nee;Nee;NULL;NULL;NULL;Ja;Ja;Nee;PPLG;Zuid;NULL;NULL
789517;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
789558;(dreigende) Storing ICT systemen;139;4;76;Nee;Nee;NULL;NULL;NULL;Nee;Nee;Nee;PPLG;Zuid;NULL;NULL
791516;(dreigende) Storing ICT systemen;139;4;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
791506;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Ja;;;NULL;NULL
789552;(dreigende) Storing ICT systemen;139;5;76;Nee;Nee;NULL;NULL;NULL;Nee;Nee;Nee;PPLG;Rotterdam Haven;NULL;NULL
790120;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Nee;;;NULL;NULL
791139;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Ja;;;NULL;NULL
788468;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
788704;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
785732;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Ja;;;NULL;NULL
786056;(dreigende) Storing ICT systemen;139;5;76;Nee;Nee;NULL;NULL;NULL;Ja;Ja;Nee;PPLG;Noordoost;NULL;NULL
785371;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
784914;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Nee;;;NULL;NULL
784081;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
783322;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Ja;;;NULL;NULL
782360;(dreigende) Storing ICT systemen;139;5;76;Nee;Nee;NULL;NULL;NULL;Ja;Nee;Nee;PPLG;Rotterdam Haven;NULL;NULL
781211;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Nee;;;NULL;NULL
781028;(dreigende) Storing ICT systemen;139;5;76;Nee;Nee;NULL;NULL;NULL;Ja;Ja;Nee;PPLG;Zuid;NULL;NULL
781473;(dreigende) Storing ICT systemen;139;5;76;Nee;Nee;NULL;NULL;NULL;Ja;Nee;Ja;PPLG;Zuid;NULL;NULL
781446;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
781929;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
780444;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Nee;Nee;Nee;;;NULL;NULL
778136;(dreigende) Storing ICT systemen;139;5;76;Nee;Nee;NULL;NULL;NULL;Nee;Nee;Nee;Vrije baan;Randstad Noord-Noord;NULL;NULL
777498;(dreigende) Storing ICT systemen;139;5;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Ja;Nee;;;NULL;NULL
779264;(dreigende) Storing ICT systemen;139;5;76;Nee;Nee;NULL;NULL;NULL;Ja;Nee;Nee;PPLG;Zuid;NULL;NULL
783191;(dreigende) Storing ICT systemen;139;6;76;Onbekend;Onbekend;NULL;NULL;NULL;Ja;Nee;Nee;;;NULL;NULL
783265;(dreigende) Storing ICT systemen;139;6;76;Nee;Nee;NULL;NULL;NULL;Ja;Ja;Nee;PPLG;Randstad Noord;NULL;NULL
785972;(dreigende) Storing ICT systemen;139;6;76;Nee;Nee;NULL;NULL;NULL;Ja;Ja;Nee;PPLG;Rotterdam Haven;NULL;NULL
